soviet, tank, heavy, 5200, 10500, 1
soviet, tank, medium, 44900, 55900, 1
soviet, tank, light, 33400, 42300, 1
soviet, tank, artillery, 13000, 23100, 1
soviet, tank, total, 83500, 106025, 1
soviet, tank, armoredCars, 37600, 72200, 1
soviet, sea, battleships, 1, 2, 1
soviet, sea, cruisers, 2, 2, 1
soviet, sea, destroyers, 30, 30, 1
soviet, sea, frigates, 4, 4, 1
soviet, sea, submarines, 102, 102, 1
soviet, air, bomber, 17900, 24616, 1
soviet, air, CAS, 23600, 37549, 1
soviet, air, fighter, 46800, 67587, 1
soviet, air, transport, 18100, 17322, 1
soviet, air, totalair, 106400, 158220, 1
germany, tank, armoredCars, 411099, 411099, 0
germany, tank, artillery, 245544, 245544,0
germany, tank, total, 682227, 682227, 0
germany, sea, battleships, 4, 4, 0
germany, sea, cruisers, 9, 9, 0
germany, sea, destroyers, 27, 27, 0
germany, sea, submarines, 765, 765, 0
germany, air, fighter, 21452, 21452, 0
germany, air, bomber, 12037, 12037, 0
germany, air, CAS, 15769, 15769, 0
germany, air, transport, 6141, 6141, 0
germany, air, totalair, 76875, 76875, 0
poland, tank, total, 880, 880, 0
poland, sea, cruisers, 1, 1, 0
poland, sea, destroyers, 3, 3, 0
poland, sea, frigates, 1, 1, 0
poland, sea, submarines, 2, 2, 0
poland, air, fighter, 116, 116, 0
poland, air, CAS, 112, 112, 0
poland, air, bomber, 36, 36, 0
poland, air, transport, 9, 9, 0
poland, air, totalair, 398, 398, 0
netherlands, sea, cruisers, 2, 2, 0
netherlands, sea, destroyers, 9, 9, 0
netherlands, sea, submarines, 14, 14, 0
netherlands, air, totalair, 81, 81, 0
china, air, total, 2468, 2468, 1
france, tank, total, 7072, 7072, 0
france, tank, armoredCars, 946, 946, 0
france, sea, battleships, 2, 2, 0
france, sea, cruisers, 8, 8, 0
france, sea, destroyers, 36, 36, 0
france, sea, submarines, 33, 33, 0
france, air, totalair, 892, 892, 0
gb, tank, armoredCars, 1957, 47420, 1
gb, tank, total, 4477, 47862, 1
gb, tank, medium, 2712, 2952, 1
gb, tank, light, 500, 546, 1
gb, tank, heavy, 1200, 1402, 1
gb, sea, carriers, 10, 24, 1
gb, sea, battleships, 5, 6, 1
gb, sea, cruisers, 31, 102, 1
gb, sea, destroyers, 138, 291, 1
gb, sea, frigates, 47, 209, 1
gb, sea, submarines, 75, 238, 1
gb, air, fighter, 30045, 38786, 1
gb, air, bomber, 11965, 38158, 1
gb, air, totalair, 42260, 76944, 1
finland, air, totalair, 536, 960, 1
finland, air, fighter, 137, 731, 1
finland, air, bomber, 51, 229, 1
italy, tank, total, 3500, 3500, 0
italy, sea, battleships, 2, 3, 0
italy, sea, carrier, 1, 1, 0
italy, sea, cruisers, 11, 11, 0
italy, sea, destroyers, 84, 84, 0
italy, sea, submarines, 84, 84, 0
italy, air, totalair, 5272, 12099, 0
japan, tank, total, 3500, 4524, 0
japan, sea, carriers, 19, 19, 0
japan, sea, battleships, 8, 8, 0
japan, sea, cruisers, 37, 37, 0
japan, sea, destroyers, 134, 134, 0
japan, sea, submarines, 130, 199, 0
japan, air, totalair, 42500, 56000, 0
us, tank, total, 14140, 108410, 1
us, tank, medium, 4235, 6706, 1
us, tank, artillery, 178, 257390, 1
us, tank, light, 1507, 8851, 1
us, tank, heavy, 915, 2202, 1
us, sea, carriers, 14, 36, 1
us, sea, battleships, 3, 10, 1
us, sea, cruisers, 10, 48, 1
us, sea, destroyers, 83, 349, 1
us, sea, frigates, 11, 440, 1
us, sea, submarines, 52, 245, 1
us, air, totalair, 95000, 267000, 1
